Obsah,Název videa,Čas zveřejnění videa,Délka,Zhlédnutí
Celkem,,,,21695
rmRH1cmXSUc,Karel Hádek – Čtení o staré Praze | Kapitola 21: O městských privilegiích,"Jan 4, 2026",836,919
 -NAvlXIqYdA,Kouzelný stůl 2. díl | Experimenty v barokní kuchyni,"Mar 13, 2026",4004,857
TWI2C4FTrAI,Komiksové studio #1 s Guyem Delislem,"Jan 21, 2026",1952,667
qUNq-foQEHQ,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 7: Podivuhodný příběh Karla Straširybky,"Aug 15, 2025",1487,627
VVUPQPEsE2g,Karel Poláček – Čtrnáct dní na vojně | Část 1.,"Aug 30, 2025",1433,533
7IITST4jEjw,Komiksové studio #2  se Štěpánkou Jislovou,"Mar 23, 2026",5910,460
 -IwTZm_R5S4,Mariánská listování s manželi Tichotovými,"Dec 8, 2025",3566,450
nwxBsjIHJbA,Kouzelný stůl 1. díl | Restaurování barokní kuchyně Bellarie,"Mar 9, 2026",3203,450
KYpcek7QPFY,Karel Hádek – Čtení o staré Praze | Kapitola 1: O kapli Betlémské,"Sep 26, 2025",893,436
Rr7Xp8TrBc0,Karel Hádek – Čtení o staré Praze | Kapitola 24: O čtyřech oběšencích,"Jan 25, 2026",1074,433
Nuj2OJc-uv4,Karel Hádek – Čtení o staré Praze | Kapitola 16: Panna Maria kontra Jiří z Poděbrad,"Nov 30, 2025",439,425
DQt62kFZ11I,Karel Poláček – Čtrnáct dní na vojně | Část 2.,"Sep 6, 2025",1330,390
hoTzA-Fb2c0,Karel Hádek – Čtení o staré Praze | Kapitola 2: Slavnost v Kanálské zahradě,"Sep 26, 2025",513,372
yPe7nxIwb7E,Mariánská listování s Helenou Koutnou,"Jun 30, 2025",1650,370
DKe-KHHFig0,Lesní studánka – Josef Václav Sládek | Mozaika české poezie: Příběhy a obrazy,"Mar 13, 2026",75,353
QZbFYVq709k,Visiolibrum – Umění ve virtuální galerii,"Jun 23, 2025",1127,341
L15ImNClsn8,Mariánská listování s Ivanou Bozděchovou,"Jul 14, 2025",2912,318
57YYqkTp23k,Karel Hádek – Čtení o staré Praze | Kapitola 8: Pražské Jezulátko,"Oct 12, 2025",702,309
KWUvYzbxDGA,Byl Adolf Hitler komunista?,"Jan 30, 2026",1036,304
vyBd7nzLoG0,Pestrá země: Miroslav Černý,"Oct 13, 2025",1715,298
m7jS3vfTbr8,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 4: Ze zašlých dob,"Aug 15, 2025",2789,283
9SBF4GO_QhM,Karel Poláček – Čtrnáct dní na vojně | Část 3.,"Sep 13, 2025",1250,276
uQGvTZSqxb0,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 1: Tři mrtvoly ve sklepě,"Aug 15, 2025",1099,275
GpgrN9znRiI,Splav – Fráňa Šrámek | Mozaika české poezie: Příběhy a obrazy,"Mar 13, 2026",155,273
ukwDA_rTcKo,Pestrá země: O Janu Křesadlovi s Václavem Z. J. Pinkavou,"Dec 24, 2025",3024,259
tyeTgBeblV8,Poštovní schránka – Jiří Wolker | Mozaika české poezie: Příběhy a obrazy,"Mar 13, 2026",87,255
x9s2pglzA8Y,Karel Hádek – Čtení o staré Praze | Kapitola 13: O domě vusínském aneb redutním,"Nov 9, 2025",452,241
NlUN6_OqCc4,Karel Hádek – Čtení o staré Praze | Kapitola 17: Nejkrásnější knihovna světa,"Dec 7, 2025",579,235
YFBLQCVyJK4,Kouzelný stůl 3. díl | Conrad Hagger ornamentální paštiky a dekorativní marcipán,"Mar 20, 2026",3399,226
WKwwjbq3GV0,Karel Poláček – Čtrnáct dní na vojně | Část 4.,"Sep 22, 2025",1237,225
_-LTRQJyC4Y,Karel Hádek – Čtení o staré Praze | Kapitola 25: Život vojenský – život veselý,"Feb 1, 2026",890,222
aO9IwLwZrMs,Karel Hádek – Čtení o staré Praze | Kapitola 4: Pověsti o Staronové škole,"Sep 28, 2025",568,221
Vxebi-BnYh4,Mariánská listování s Rudym Linkou,"Sep 8, 2025",3136,215
lKfxKZTVHzE,Virtuální realita a prevence kriminality – Missing 10 Hours,"Jul 21, 2025",1519,215
ofLrbidTUik,Mariánská listování: Česká škola v Chicagu,"Sep 1, 2025",2470,215
0KNr2DOZalM,Karel Hádek – Čtení o staré Praze | Kapitola 15: Dopis z roku 1819,"Nov 23, 2025",820,213
itaqj40lnlg,"Virtuální realita z pohledu kulturní antropologie, Korea ve VR","Jan 26, 2026",1816,209
6KlLyNPsbdk,Karel Hádek – Čtení o staré Praze | Kapitola 3: O tandlmarku,"Sep 26, 2025",777,208
HFtm9FvXsaU,Karel Hádek – Čtení o staré Praze | Kapitola 6: Zahrady za Koňskou branou,"Oct 5, 2025",580,204
aa-m1jhdlY4,Pestrá země: Pavel Novotný,"Feb 23, 2026",1926,200
yH2Z5MORERw,Kouzelný stůl 4. díl | Znovuzrození kouzelného stolu – jak jsme oživili barokní mechanismus,"Apr 1, 2026",3546,195
_VAzd9St5aI,Virtuální město: trénink paměti a kognitivních funkcí pro seniory,"Oct 29, 2025",1460,194
qxIPWMaO3W8,Komiksové studio #3 s Branko Jelinkem,"Apr 29, 2026",4666,193
MKOIRfltl6Y,Karel Hádek – Čtení o staré Praze | Kapitola 23: Móda ve středověké Praze,"Jan 18, 2026",734,190
2-7AMKqBPdg,Virtuální realita: Open Brush – malování v 3D prostoru,"Dec 22, 2025",2672,180
soerao-Racs,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 2: Boží prsty,"Aug 15, 2025",642,179
qrhzr3ZhuWE,MLP HUB: Virtuální knihovna v Praze ve VRChat,"Sep 29, 2025",2921,171
wmdeM6zx9Ds,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 8: Duch nebožtíka Hroudy,"Aug 18, 2025",641,170
9R7jfBwHP9Y,Karel Hádek – Čtení o staré Praze | Kapitola 26: Pražská móda empírová,"Feb 8, 2026",730,169
REqtbU6wDRQ,Petr Šimeček – Algoritmus kávy | Z-ai-mavý spisovatel,"Feb 15, 2026",501,169
PW2RprOSYgM,Karel Hádek – Čtení o staré Praze | Kapitola 18: Jak byl obnovován magistrát,"Dec 14, 2025",657,168
ULLgm1FrVUI,Karel Hádek – Čtení o staré Praze | Kapitola 22: Nejkrásnější hřbitůvek,"Jan 11, 2026",513,167
sF9A4D-OZvc,Hanuš Hackenschmied – U ledové víly | Kapitola 1: O třech princeznách v Modré hoře,"Oct 5, 2025",2705,167
Y_zv4fFP4kU,Karel Hádek – Čtení o staré Praze | Kapitola 7: O Valdštejnském paláci,"Oct 5, 2025",775,166
gdtJ97T8Kf8,Karel Hádek – Čtení o staré Praze | Kapitola 5: Barvířský ostrov,"Sep 28, 2025",620,166
as-bcT6bn6c,Mariánská listování s Pavlem Suchanem,"Oct 21, 2025",2599,160
0e1mFrmPUcg,Virtuální realita v tréninku náročné komunikace,"Aug 25, 2025",2380,159
G6J-4Mg-FkE,Karel Hádek – Čtení o staré Praze | Kapitola 19: O nebožce lotynce,"Dec 21, 2025",968,150
OcSPbpkVr7g,Karel Hádek – Čtení o staré Praze | Kapitola 10: Dva starobylé domy malostranské,"Oct 26, 2025",895,145
DJZlngrgbZ0,Svou violu jsem naladil co možno nejhlouběji – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,"Mar 13, 2026",304,140
tSSFpdBACYM,Karel Hádek – Čtení o staré Praze | Kapitola 20: Vánoce! Vánoce!,"Dec 29, 2025",705,140
asVUURTl2L8,Pestrá země: Dora Kapralová,"Apr 24, 2026",1393,133
S2evx5SdTcU,Pestrá země: Hana Lundiaková,"Dec 5, 2025",1358,132
jFXRfxhuNVs,Karel Hádek – Čtení o staré Praze | Kapitola 9: Paladium země České,"Oct 19, 2025",482,132
qrTWu3MWb98,Mariánská listování  s Dušanem Neumannem - 11. díl,"Feb 9, 2026",2900,129
QUby9009nkw,Karel Hádek – Čtení o staré Praze | Kapitola 14: Papouškové lázně,"Nov 16, 2025",522,123
H6bRm_nc4pk,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 9: Jak vraždila rakouská byrokracie naše nejl...,"Aug 23, 2025",497,122
BUGJAYMkz2I,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 3: Chocholouš,"Aug 15, 2025",589,120
xl9DZdM0ch4,Karel Hádek – Čtení o staré Praze | Kapitola 34: Bombardování Prahy Windischgrätzem,"Apr 5, 2026",446,119
0BcyKP663vg,Mariánská listování s Michalem Brožou - 10. díl,"Jan 19, 2026",3409,118
1kvk95w0Qjs,Mariánská listování s Janem Smigmatorem,"Sep 23, 2025",2242,117
k_b1irMvpLw,Mariánská listování s Ivanem Pušem - 13.díl,"Apr 8, 2026",1969,117
sj34fxvAXEY,Rehabilitace ve virtuální realitě,"Nov 20, 2025",1327,116
WLG1Sdh_Wvk,Karel Hádek – Čtení o staré Praze | Kapitola 32: Praha 1855,"Mar 22, 2026",506,115
6GhXoPfo5P4,Karel Hádek – Čtení o staré Praze | Kapitola 11: Židovský průvod,"Oct 26, 2025",685,113
DxL68eD0uNk,"Virtuální realita, film a knihovny – Ondřej Moravec | Díl 9","Feb 25, 2026",3245,113
VsjXpJi6K8I,Karel Hádek – Čtení o staré Praze | Kapitola 31: O té velké vodě,"Mar 15, 2026",899,113
2zi5mkm5e4Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 6: Plavba paní Suchánkové do Ameriky,"Aug 15, 2025",1207,111
qaOtolrVbXQ,Ruce – Otokar Březina | Mozaika české poezie: Hlasy a otázky,"Mar 26, 2026",295,106
X_mmgnMYENQ,Karel Hádek – Čtení o staré Praze | Kapitola 33: Kocourkovské příběhy,"Mar 29, 2026",1261,105
AZfRuni3yoo,Balada dětská – Jan Neruda | Mozaika české poezie: Příběhy a obrazy,"Mar 26, 2026",128,97
o-4LbeU8P5s,Jak virtuální realita pomáhá seniorům i pečovatelům | 10. díl,"Mar 30, 2026",2383,97
HMIjm7wkr3k,Karel Hádek – Čtení o staré Praze | Kapitola 27: Zpěváčkové,"Feb 15, 2026",852,96
0nwGiePljtg,Karel Hádek – Čtení o staré Praze | Kapitola 12: Pražské písně lidu vojenského,"Nov 2, 2025",597,90
m3TgaugXTRY,Mariánská listování s Evou Chodějovskou,"Aug 18, 2025",2344,90
G23iqulol6Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 5: Němá láska poručíka Klanga,"Aug 15, 2025",1287,87
lOJhJ_QZIc8,Karel Hádek – Čtení o staré Praze | Kapitola 35: Zlatá bula ztracena a opět nalezena,"Apr 12, 2026",568,85
n-8Dmo-g_0I,Karel Hádek – Čtení o staré Praze | Kapitola 28: Jak přijel do Prahy první vlak,"Feb 22, 2026",773,85
t04WykqxoOA,Samostatná Ukrajina,"Dec 2, 2025",1473,85
vmhs0_jqo5k,Karel Hádek – Čtení o staré Praze | Kapitola 30: Rychtář Vavák vidí korunovaci Leopolda II.,"Mar 8, 2026",567,85
iyl9PKDGaL8,Pršelo v noci – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,"Apr 10, 2026",293,84
aIpLdxcelt4,Karel Hádek – Čtení o staré Praze | Kapitola 29: Blahořečení Jana Nepomuckého,"Mar 1, 2026",843,80
p81-DGUXFtI,Nacistická propaganda v ČSR,"Dec 2, 2025",1580,79
