Obsah,Název videa,Čas zveřejnění videa,Délka,Zhlédnutí
Celkem,,,,16745
rmRH1cmXSUc,Karel Hádek – Čtení o staré Praze | Kapitola 21: O městských privilegiích,"Jan 4, 2026",836,916
 -NAvlXIqYdA,Kouzelný stůl (díl 2): Experimenty v barokní kuchyni a historické kuchařky 17. a 18. století,"Mar 13, 2026",4004,769
qUNq-foQEHQ,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 7: Podivuhodný příběh Karla Straširybky,"Aug 15, 2025",1487,624
TWI2C4FTrAI,Komiksové studio #1 s Guyem Delislem,"Jan 21, 2026",1952,619
VVUPQPEsE2g,Karel Poláček – Čtrnáct dní na vojně | Část 1.,"Aug 30, 2025",1433,515
 -IwTZm_R5S4,Mariánská listování s manželi Tichotovými,"Dec 8, 2025",3566,430
Rr7Xp8TrBc0,Karel Hádek – Čtení o staré Praze | Kapitola 24: O čtyřech oběšencích,"Jan 25, 2026",1074,430
Nuj2OJc-uv4,Karel Hádek – Čtení o staré Praze | Kapitola 16: Panna Maria kontra Jiří z Poděbrad,"Nov 30, 2025",439,424
KYpcek7QPFY,Karel Hádek – Čtení o staré Praze | Kapitola 1: O kapli Betlémské,"Sep 26, 2025",893,411
DQt62kFZ11I,Karel Poláček – Čtrnáct dní na vojně | Část 2.,"Sep 6, 2025",1330,381
hoTzA-Fb2c0,Karel Hádek – Čtení o staré Praze | Kapitola 2: Slavnost v Kanálské zahradě,"Sep 26, 2025",513,366
yPe7nxIwb7E,Mariánská listování s Helenou Koutnou,"Jun 30, 2025",1650,366
nwxBsjIHJbA,Kouzelný stůl (díl 1): Restaurování barokní kuchyně a kouzelného stolu letohrádku bellarie,"Mar 9, 2026",3203,336
L15ImNClsn8,Mariánská listování s Ivanou Bozděchovou,"Jul 14, 2025",2912,308
57YYqkTp23k,Karel Hádek – Čtení o staré Praze | Kapitola 8: Pražské Jezulátko,"Oct 12, 2025",702,305
KWUvYzbxDGA,Byl Adolf Hitler komunista?,"Jan 30, 2026",1036,297
vyBd7nzLoG0,Pestrá země: Miroslav Černý,"Oct 13, 2025",1715,294
m7jS3vfTbr8,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 4: Ze zašlých dob,"Aug 15, 2025",2789,279
9SBF4GO_QhM,Karel Poláček – Čtrnáct dní na vojně | Část 3.,"Sep 13, 2025",1250,270
uQGvTZSqxb0,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 1: Tři mrtvoly ve sklepě,"Aug 15, 2025",1099,270
ukwDA_rTcKo,Pestrá země: O Janu Křesadlovi s Václavem Z. J. Pinkavou,"Dec 24, 2025",3024,256
x9s2pglzA8Y,Karel Hádek – Čtení o staré Praze | Kapitola 13: O domě vusínském aneb redutním,"Nov 9, 2025",452,238
NlUN6_OqCc4,Karel Hádek – Čtení o staré Praze | Kapitola 17: Nejkrásnější knihovna světa,"Dec 7, 2025",579,231
WKwwjbq3GV0,Karel Poláček – Čtrnáct dní na vojně | Část 4.,"Sep 22, 2025",1237,222
_-LTRQJyC4Y,Karel Hádek – Čtení o staré Praze | Kapitola 25: Život vojenský – život veselý,"Feb 1, 2026",890,221
aO9IwLwZrMs,Karel Hádek – Čtení o staré Praze | Kapitola 4: Pověsti o Staronové škole,"Sep 28, 2025",568,217
ofLrbidTUik,Mariánská listování: Česká škola v Chicagu,"Sep 1, 2025",2470,213
0KNr2DOZalM,Karel Hádek – Čtení o staré Praze | Kapitola 15: Dopis z roku 1819,"Nov 23, 2025",820,212
6KlLyNPsbdk,Karel Hádek – Čtení o staré Praze | Kapitola 3: O tandlmarku,"Sep 26, 2025",777,206
HFtm9FvXsaU,Karel Hádek – Čtení o staré Praze | Kapitola 6: Zahrady za Koňskou branou,"Oct 5, 2025",580,203
Vxebi-BnYh4,Mariánská listování s Rudym Linkou,"Sep 8, 2025",3136,201
7IITST4jEjw,Komiksové studio #2  se Štěpánkou Jislovou,"Mar 23, 2026",5910,194
MKOIRfltl6Y,Karel Hádek – Čtení o staré Praze | Kapitola 23: Móda ve středověké Praze,"Jan 18, 2026",734,186
DKe-KHHFig0,Lesní studánka – Josef Václav Sládek | Mozaika české poezie: Příběhy a obrazy,"Mar 13, 2026",75,182
soerao-Racs,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 2: Boží prsty,"Aug 15, 2025",642,177
wmdeM6zx9Ds,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 8: Duch nebožtíka Hroudy,"Aug 18, 2025",641,169
PW2RprOSYgM,Karel Hádek – Čtení o staré Praze | Kapitola 18: Jak byl obnovován magistrát,"Dec 14, 2025",657,167
gdtJ97T8Kf8,Karel Hádek – Čtení o staré Praze | Kapitola 5: Barvířský ostrov,"Sep 28, 2025",620,165
ULLgm1FrVUI,Karel Hádek – Čtení o staré Praze | Kapitola 22: Nejkrásnější hřbitůvek,"Jan 11, 2026",513,163
aa-m1jhdlY4,Pestrá země: rozhovor s Pavlem Novotným,"Feb 23, 2026",1926,163
9R7jfBwHP9Y,Karel Hádek – Čtení o staré Praze | Kapitola 26: Pražská móda empírová,"Feb 8, 2026",730,162
sF9A4D-OZvc,Hanuš Hackenschmied – U ledové víly | Kapitola 1: O třech princeznách v Modré hoře,"Oct 5, 2025",2705,162
Y_zv4fFP4kU,Karel Hádek – Čtení o staré Praze | Kapitola 7: O Valdštejnském paláci,"Oct 5, 2025",775,160
as-bcT6bn6c,Mariánská listování s Pavlem Suchanem,"Oct 21, 2025",2599,156
G6J-4Mg-FkE,Karel Hádek – Čtení o staré Praze | Kapitola 19: O nebožce lotynce,"Dec 21, 2025",968,149
YFBLQCVyJK4,Kouzelný stůl (díl 3): Conrad Hagger – ornamentální paštiky a dekorativní marcipán,"Mar 20, 2026",3399,147
OcSPbpkVr7g,Karel Hádek – Čtení o staré Praze | Kapitola 10: Dva starobylé domy malostranské,"Oct 26, 2025",895,141
REqtbU6wDRQ,Petr Šimeček – Algoritmus kávy | Z-ai-mavý spisovatel,"Feb 15, 2026",501,141
tSSFpdBACYM,Karel Hádek – Čtení o staré Praze | Kapitola 20: Vánoce! Vánoce!,"Dec 29, 2025",705,136
tyeTgBeblV8,Poštovní schránka – Jiří Wolker | Mozaika české poezie: Příběhy a obrazy,"Mar 13, 2026",87,136
S2evx5SdTcU,Pestrá země: Hana Lundiaková,"Dec 5, 2025",1358,130
jFXRfxhuNVs,Karel Hádek – Čtení o staré Praze | Kapitola 9: Paladium země České,"Oct 19, 2025",482,129
QUby9009nkw,Karel Hádek – Čtení o staré Praze | Kapitola 14: Papouškové lázně,"Nov 16, 2025",522,122
H6bRm_nc4pk,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 9: Jak vraždila rakouská byrokracie naše nejl...,"Aug 23, 2025",497,120
GpgrN9znRiI,Splav – Fráňa Šrámek | Mozaika české poezie: Příběhy a obrazy,"Mar 13, 2026",155,119
1kvk95w0Qjs,Mariánská listování s Janem Smigmatorem,"Sep 23, 2025",2242,115
qrTWu3MWb98,Mariánská listování  s Dušanem Neumannem - 11. díl,"Feb 9, 2026",2900,115
0BcyKP663vg,Mariánská listování s Michalem Brožou,"Jan 19, 2026",3409,113
2zi5mkm5e4Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 6: Plavba paní Suchánkové do Ameriky,"Aug 15, 2025",1207,110
BUGJAYMkz2I,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 3: Chocholouš,"Aug 15, 2025",589,110
6GhXoPfo5P4,Karel Hádek – Čtení o staré Praze | Kapitola 11: Židovský průvod,"Oct 26, 2025",685,106
DJZlngrgbZ0,Svou violu jsem naladil co možno nejhlouběji – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,"Mar 13, 2026",304,93
HMIjm7wkr3k,Karel Hádek – Čtení o staré Praze | Kapitola 27: Zpěváčkové,"Feb 15, 2026",852,92
0nwGiePljtg,Karel Hádek – Čtení o staré Praze | Kapitola 12: Pražské písně lidu vojenského,"Nov 2, 2025",597,88
VsjXpJi6K8I,Karel Hádek – Čtení o staré Praze | Kapitola 31: O té velké vodě,"Mar 15, 2026",899,88
m3TgaugXTRY,Mariánská listování s Evou Chodějovskou,"Aug 18, 2025",2344,88
G23iqulol6Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 5: Němá láska poručíka Klanga,"Aug 15, 2025",1287,84
WLG1Sdh_Wvk,Karel Hádek – Čtení o staré Praze | Kapitola 32: Praha 1855,"Mar 22, 2026",506,83
n-8Dmo-g_0I,Karel Hádek – Čtení o staré Praze | Kapitola 28: Jak přijel do Prahy první vlak,"Feb 22, 2026",773,82
