PodcastName,EpisodeName,PublishDate,Downloads
Historie mezi řádky,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,11/03/2022 08:10:18 UTC,405
Historie mezi řádky,Samostatná Ukrajina,11/15/2025 11:00:00 UTC,342
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? I. část,07/21/2022 06:25:34 UTC,299
Historie mezi řádky,Byl Adolf Hitler komunista?,11/07/2025 11:25:57 UTC,298
Historie mezi řádky,Španělská občanská válka,09/15/2022 06:53:53 UTC,283
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 1: Tři mrtvoly ve sklepě,06/25/2025 03:34:41 UTC,262
Historie mezi řádky,Čeští Němci v roce 1918,09/29/2022 06:57:43 UTC,233
Historie mezi řádky,Kudy povedou hranice republiky?,10/20/2022 07:01:46 UTC,225
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? II. část,08/04/2022 06:45:07 UTC,218
Historie mezi řádky,Temná druhá republika,11/13/2025 11:00:21 UTC,215
Historie mezi řádky,Generál Josef Šnejdárek - velitel senegalských lidojedů,10/06/2022 06:59:50 UTC,212
Historie mezi řádky,Československá kolonie Togo – mýtus nebo skutečnost?,08/18/2022 06:48:47 UTC,211
Historie mezi řádky,Nacistická propaganda v ČSR,11/12/2025 09:36:47 UTC,206
Historie mezi řádky,Od Královce ke Kaliningradu,09/01/2022 06:52:41 UTC,202
Historie mezi řádky,Poslední svobodné volby,11/14/2025 11:00:49 UTC,202
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 2: Boží prsty,06/26/2025 09:50:32 UTC,75
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 4: Pověsti o Staronové škole,09/28/2025 10:00:36 UTC,72
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 1: O kapli Betlémské,09/26/2025 10:00:51 UTC,69
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 4: Ze zašlých dob,07/21/2025 10:11:48 UTC,62
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 1.,08/30/2025 10:00:30 UTC,58
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 3: Chocholouš,07/14/2025 10:09:21 UTC,49
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 2: Slavnost v Kanálské zahradě,09/26/2025 10:00:18 UTC,49
Mariánská listování,Mariánská listování s Ivanou Bozděchovou,07/15/2025 09:49:01 UTC,48
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 3: O tandlmarku,09/26/2025 10:00:48 UTC,39
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 5: Barvířský ostrov,09/28/2025 10:00:40 UTC,39
Mariánská listování,Mariánská listovaní s Kristýnou Kůstkovou,06/24/2025 09:23:25 UTC,38
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 2.,09/06/2025 10:00:18 UTC,38
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 8: Pražské Jezulátko,10/12/2025 10:00:28 UTC,38
Nová vlna,Hanuš Hackenschmied – U ledové víly | Kapitola 1: O třech princeznách v Modré hoře,10/05/2025 10:00:12 UTC,36
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 5: Němá láska poručíka Klanga,07/28/2025 10:26:58 UTC,35
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 6: Zahrady za Koňskou branou,10/05/2025 10:00:29 UTC,35
Mariánská listování,Mariánská listování s Helenou Koutnou,07/15/2025 08:34:18 UTC,32
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 6: Plavba paní Suchánkové do Ameriky,08/03/2025 10:00:40 UTC,32
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 7: O Valdštejnském paláci,10/05/2025 10:00:25 UTC,31
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 14: Papouškové lázně,11/16/2025 11:00:08 UTC,30
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 3.,09/13/2025 10:00:36 UTC,29
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 9: Paladium země České,10/19/2025 10:00:22 UTC,28
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 9: Jak vraždila rakouská byrokracie naše nejlepší lidi,08/23/2025 10:00:59 UTC,26
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 11: Židovský průvod,10/26/2025 11:00:28 UTC,26
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 8: Duch nebožtíka Hroudy,08/17/2025 10:00:15 UTC,25
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 4.,09/22/2025 03:00:58 UTC,25
Mariánská listování,Mariánská listování  s Pavlem Suchanem,10/31/2025 03:00:33 UTC,25
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 7: Podivuhodný příběh Karla Straširybky,08/10/2025 10:00:48 UTC,23
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 10: Dva starobylé domy malostranské,10/26/2025 11:00:24 UTC,21
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 13: O domě vusínském aneb redutním,11/09/2025 11:00:13 UTC,21
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 12: Pražské písně lidu vojenského,11/02/2025 11:00:13 UTC,20
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 15: Dopis z roku 1819,11/23/2025 11:00:38 UTC,18
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 17: Nejkrásnější knihovna světa,12/07/2025 11:00:21 UTC,18
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 16: Panna Maria kontra Jiří z Poděbrad,11/30/2025 11:00:28 UTC,13
Mariánská listování,Mariánská listování s manželi Tichotovými,12/08/2025 06:00:29 UTC,12
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 21: O městských privilegiích,01/04/2026 11:00:16 UTC,11
Pestrá země,Pestrá země: Miroslav Černý,10/15/2025 07:44:55 UTC,10
Mariánská listování,Mariánská listování s Janem Smigmatorem,10/30/2025 03:00:16 UTC,10
Mariánská listování,Mariánská listování: Česká škola v Chicagu,10/29/2025 03:00:05 UTC,10
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 19: O nebožce lotynce,12/21/2025 11:00:38 UTC,10
Pestrá země,Pestrá země: O Janu Křesadlovi s Václavem Z. J. Pinkavou,12/24/2025 09:00:00 UTC,10
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 18: Jak byl obnovován magistrát,12/14/2025 11:00:45 UTC,9
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 20: Vánoce! Vánoce!,12/29/2025 11:47:05 UTC,9
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 22: Nejkrásnější hřbitůvek,01/11/2026 11:00:17 UTC,9
Mariánská listování,Mariánská listování s Michalem Brožou,01/21/2026 10:01:11 UTC,9
Mariánská listování,Mariánská listování s Evou Chodějovskou,10/28/2025 03:00:21 UTC,8
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 24: O čtyřech oběšencích,01/25/2026 11:00:35 UTC,8
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 23: Móda ve středověké Praze,01/18/2026 11:00:05 UTC,8
Pestrá země,Pestrá země: Hana Lundiaková,12/17/2025 12:14:04 UTC,4
