PodcastName,Epizoda,EpisodeUUID,Měsíc,RedCircle_Downloads,PodcastUUID
Historie mezi řádky,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,eb5ca8ec-14e6-42e0-bfc2-7024697134a8,2022-11,2,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Kudy povedou hranice republiky?,0a1d104e-eeb2-4fac-84b6-d3c6eaf3bcff,2022-11,1,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Generál Josef Šnejdárek - velitel senegalských lidojedů,4d724f75-6b49-4706-8c32-604fc159c5b3,2022-11,1,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,eb5ca8ec-14e6-42e0-bfc2-7024697134a8,2022-12,5,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Generál Josef Šnejdárek - velitel senegalských lidojedů,4d724f75-6b49-4706-8c32-604fc159c5b3,2022-12,3,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? I. část,8d8f31a9-7e24-4067-8a1a-046c01625b58,2022-12,3,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Kudy povedou hranice republiky?,0a1d104e-eeb2-4fac-84b6-d3c6eaf3bcff,2022-12,2,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Od Královce ke Kaliningradu,feca4c44-09bc-4dba-9eaf-0bad07b103dd,2022-12,2,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Čeští Němci v roce 1918,6f7601fa-72ce-4e30-84d7-c7aca8b0f54d,2022-12,1,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Španělská občanská válka,cf65bf9b-7686-4849-893a-aa027cb794c2,2022-12,1,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Československá kolonie Togo – mýtus nebo skutečnost?,361531d8-7725-4374-9e32-8609fcf19552,2023-01,11,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Od Královce ke Kaliningradu,feca4c44-09bc-4dba-9eaf-0bad07b103dd,2023-01,11,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,eb5ca8ec-14e6-42e0-bfc2-7024697134a8,2023-01,8,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? I. část,8d8f31a9-7e24-4067-8a1a-046c01625b58,2023-01,7,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Španělská občanská válka,cf65bf9b-7686-4849-893a-aa027cb794c2,2023-01,6,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? II. část,9b4403cb-9d3e-4464-a8bd-b42a0d694fa4,2023-01,5,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Kudy povedou hranice republiky?,0a1d104e-eeb2-4fac-84b6-d3c6eaf3bcff,2023-01,4,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Generál Josef Šnejdárek - velitel senegalských lidojedů,4d724f75-6b49-4706-8c32-604fc159c5b3,2023-01,3,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Čeští Němci v roce 1918,6f7601fa-72ce-4e30-84d7-c7aca8b0f54d,2023-01,3,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Španělská občanská válka,cf65bf9b-7686-4849-893a-aa027cb794c2,2023-02,10,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? I. část,8d8f31a9-7e24-4067-8a1a-046c01625b58,2023-02,7,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,eb5ca8ec-14e6-42e0-bfc2-7024697134a8,2023-02,7,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Čeští Němci v roce 1918,6f7601fa-72ce-4e30-84d7-c7aca8b0f54d,2023-02,5,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Generál Josef Šnejdárek - velitel senegalských lidojedů,4d724f75-6b49-4706-8c32-604fc159c5b3,2023-02,4,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? II. část,9b4403cb-9d3e-4464-a8bd-b42a0d694fa4,2023-02,4,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Kudy povedou hranice republiky?,0a1d104e-eeb2-4fac-84b6-d3c6eaf3bcff,2023-02,3,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Československá kolonie Togo – mýtus nebo skutečnost?,361531d8-7725-4374-9e32-8609fcf19552,2023-02,3,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Od Královce ke Kaliningradu,feca4c44-09bc-4dba-9eaf-0bad07b103dd,2023-02,1,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Španělská občanská válka,cf65bf9b-7686-4849-893a-aa027cb794c2,2023-03,11,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,eb5ca8ec-14e6-42e0-bfc2-7024697134a8,2023-03,9,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Československá kolonie Togo – mýtus nebo skutečnost?,361531d8-7725-4374-9e32-8609fcf19552,2023-03,8,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? I. část,8d8f31a9-7e24-4067-8a1a-046c01625b58,2023-03,7,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Kudy povedou hranice republiky?,0a1d104e-eeb2-4fac-84b6-d3c6eaf3bcff,2023-03,6,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Čeští Němci v roce 1918,6f7601fa-72ce-4e30-84d7-c7aca8b0f54d,2023-03,6,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Generál Josef Šnejdárek - velitel senegalských lidojedů,4d724f75-6b49-4706-8c32-604fc159c5b3,2023-03,5,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? II. část,9b4403cb-9d3e-4464-a8bd-b42a0d694fa4,2023-03,5,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Od Královce ke Kaliningradu,feca4c44-09bc-4dba-9eaf-0bad07b103dd,2023-03,5,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Španělská občanská válka,cf65bf9b-7686-4849-893a-aa027cb794c2,2023-04,12,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? I. část,8d8f31a9-7e24-4067-8a1a-046c01625b58,2023-04,11,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,eb5ca8ec-14e6-42e0-bfc2-7024697134a8,2023-04,11,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Československá kolonie Togo – mýtus nebo skutečnost?,361531d8-7725-4374-9e32-8609fcf19552,2023-04,9,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? II. část,9b4403cb-9d3e-4464-a8bd-b42a0d694fa4,2023-04,7,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Kudy povedou hranice republiky?,0a1d104e-eeb2-4fac-84b6-d3c6eaf3bcff,2023-04,6,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Čeští Němci v roce 1918,6f7601fa-72ce-4e30-84d7-c7aca8b0f54d,2023-04,6,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
